set_id,statement_id,participant_id,cb_version,repetition_times,truth_score,age,gender,edu_level,ethnicity
6,SET6_S04,P01,8,0,5,19,male,some_college,
8,SET8_S08,P01,8,1,3,19,male,some_college,
6,SET6_S01,P01,8,0,3,19,male,some_college,
1,SET1_S07,P01,8,9,2,19,male,some_college,
2,SET2_S04,P01,8,18,4,19,male,some_college,
3,SET3_S02,P01,8,27,5,19,male,some_college,
3,SET3_S05,P01,8,27,4,19,male,some_college,
8,SET8_S06,P01,8,1,4,19,male,some_college,
7,SET7_S01,P01,8,0,3,19,male,some_college,
5,SET5_S02,P01,8,0,4,19,male,some_college,
7,SET7_S08,P01,8,0,5,19,male,some_college,
3,SET3_S07,P01,8,27,5,19,male,some_college,
2,SET2_S01,P01,8,18,3,19,male,some_college,
3,SET3_S08,P01,8,27,6,19,male,some_college,
1,SET1_S08,P01,8,9,5,19,male,some_college,
7,SET7_S05,P01,8,0,4,19,male,some_college,
1,SET1_S02,P01,8,9,3,19,male,some_college,
6,SET6_S05,P01,8,0,4,19,male,some_college,
3,SET3_S04,P01,8,27,5,19,male,some_college,
8,SET8_S02,P02,8,1,6,25,male,some_college,
1,SET1_S02,P02,8,9,5,25,male,some_college,
3,SET3_S03,P02,8,27,4,25,male,some_college,
4,SET4_S02,P02,8,0,4,25,male,some_college,
5,SET5_S06,P02,8,0,3,25,male,some_college,
6,SET6_S04,P02,8,0,5,25,male,some_college,
7,SET7_S04,P02,8,0,4,25,male,some_college,
7,SET7_S01,P02,8,0,4,25,male,some_college,
5,SET5_S02,P02,8,0,4,25,male,some_college,
3,SET3_S05,P02,8,27,5,25,male,some_college,
7,SET7_S07,P02,8,0,3,25,male,some_college,
8,SET8_S03,P02,8,1,5,25,male,some_college,
1,SET1_S07,P02,8,9,6,25,male,some_college,
1,SET1_S01,P02,8,9,4,25,male,some_college,
5,SET5_S08,P02,8,0,3,25,male,some_college,
4,SET4_S06,P02,8,0,3,25,male,some_college,
4,SET4_S03,P02,8,0,4,25,male,some_college,
8,SET8_S06,P02,8,1,4,25,male,some_college,
6,SET6_S07,P02,8,0,4,25,male,some_college,
4,SET4_S04,P02,8,0,5,25,male,some_college,
8,SET8_S05,P02,8,1,4,25,male,some_college,
4,SET4_S07,P02,8,0,3,25,male,some_college,
2,SET2_S07,P02,8,18,6,25,male,some_college,
2,SET2_S05,P02,8,18,5,25,male,some_college,
3,SET3_S07,P02,8,27,6,25,male,some_college,
4,SET4_S08,P02,8,0,5,25,male,some_college,
3,SET3_S04,P02,8,27,4,25,male,some_college,
3,SET3_S01,P02,8,27,6,25,male,some_college,
2,SET2_S06,P02,8,18,6,25,male,some_college,
2,SET2_S04,P02,8,18,4,25,male,some_college,
6,SET6_S03,P02,8,0,4,25,male,some_college,
3,SET3_S02,P02,8,27,5,25,male,some_college,
1,SET1_S04,P02,8,9,5,25,male,some_college,
5,SET5_S05,P02,8,0,4,25,male,some_college,
3,SET3_S08,P02,8,27,6,25,male,some_college,
6,SET6_S02,P02,8,0,4,25,male,some_college,
2,SET2_S01,P02,8,18,6,25,male,some_college,
2,SET2_S03,P02,8,18,6,25,male,some_college,
7,SET7_S03,P02,8,0,4,25,male,some_college,
4,SET4_S01,P02,8,0,4,25,male,some_college,
1,SET1_S08,P02,8,9,4,25,male,some_college,
2,SET2_S08,P02,8,18,3,25,male,some_college,
6,SET6_S06,P02,8,0,4,25,male,some_college,
1,SET1_S05,P02,8,9,4,25,male,some_college,
6,SET6_S01,P02,8,0,4,25,male,some_college,
7,SET7_S02,P02,8,0,3,25,male,some_college,
1,SET1_S03,P02,8,9,3,25,male,some_college,
8,SET8_S07,P02,8,1,5,25,male,some_college,
8,SET8_S01,P02,8,1,4,25,male,some_college,
5,SET5_S04,P02,8,0,4,25,male,some_college,
3,SET3_S06,P02,8,27,4,25,male,some_college,
6,SET6_S08,P02,8,0,3,25,male,some_college,
5,SET5_S01,P02,8,0,5,25,male,some_college,
7,SET7_S08,P02,8,0,4,25,male,some_college,
6,SET6_S05,P02,8,0,4,25,male,some_college,
4,SET4_S05,P02,8,0,2,25,male,some_college,
5,SET5_S07,P02,8,0,6,25,male,some_college,
1,SET1_S06,P02,8,9,6,25,male,some_college,
5,SET5_S03,P02,8,0,5,25,male,some_college,
2,SET2_S02,P02,8,18,5,25,male,some_college,
7,SET7_S05,P02,8,0,4,25,male,some_college,
8,SET8_S08,P02,8,1,5,25,male,some_college,
8,SET8_S04,P02,8,1,5,25,male,some_college,
7,SET7_S06,P02,8,0,3,25,male,some_college,
5,SET5_S07,P03,7,0,5,22,female,some_college,
2,SET2_S03,P03,7,27,4,22,female,some_college,
6,SET6_S06,P03,7,0,2,22,female,some_college,
4,SET4_S06,P03,7,0,3,22,female,some_college,
3,SET3_S01,P03,7,0,4,22,female,some_college,
5,SET5_S08,P03,7,0,4,22,female,some_college,
8,SET8_S02,P03,7,9,6,22,female,some_college,
3,SET3_S06,P03,7,0,4,22,female,some_college,
5,SET5_S02,P03,7,0,5,22,female,some_college,
8,SET8_S06,P03,7,9,4,22,female,some_college,
1,SET1_S01,P03,7,18,5,22,female,some_college,
2,SET2_S04,P03,7,27,4,22,female,some_college,
5,SET5_S04,P03,7,0,3,22,female,some_college,
4,SET4_S03,P03,7,0,3,22,female,some_college,
4,SET4_S05,P03,7,0,3,22,female,some_college,
4,SET4_S01,P03,7,0,3,22,female,some_college,
3,SET3_S04,P03,7,0,3,22,female,some_college,
6,SET6_S07,P03,7,0,5,22,female,some_college,
2,SET2_S01,P03,7,27,6,22,female,some_college,
2,SET2_S08,P03,7,27,4,22,female,some_college,
1,SET1_S03,P03,7,18,4,22,female,some_college,
4,SET4_S07,P03,7,0,4,22,female,some_college,
5,SET5_S01,P03,7,0,6,22,female,some_college,
3,SET3_S08,P03,7,0,4,22,female,some_college,
5,SET5_S06,P03,7,0,5,22,female,some_college,
1,SET1_S06,P03,7,18,6,22,female,some_college,
7,SET7_S02,P03,7,1,5,22,female,some_college,
2,SET2_S06,P03,7,27,6,22,female,some_college,
5,SET5_S05,P03,7,0,4,22,female,some_college,
2,SET2_S07,P03,7,27,6,22,female,some_college,
3,SET3_S03,P03,7,0,3,22,female,some_college,
8,SET8_S04,P03,7,9,5,22,female,some_college,
4,SET4_S02,P03,7,0,4,22,female,some_college,
8,SET8_S03,P03,7,9,5,22,female,some_college,
6,SET6_S02,P03,7,0,5,22,female,some_college,
6,SET6_S05,P03,7,0,4,22,female,some_college,
8,SET8_S05,P03,7,9,4,22,female,some_college,
7,SET7_S06,P03,7,1,5,22,female,some_college,
2,SET2_S05,P03,7,27,4,22,female,some_college,
3,SET3_S07,P03,7,0,3,22,female,some_college,
6,SET6_S01,P03,7,0,3,22,female,some_college,
6,SET6_S08,P03,7,0,4,22,female,some_college,
7,SET7_S05,P03,7,1,3,22,female,some_college,
6,SET6_S03,P03,7,0,5,22,female,some_college,
7,SET7_S07,P03,7,1,3,22,female,some_college,
7,SET7_S01,P03,7,1,6,22,female,some_college,
7,SET7_S08,P03,7,1,3,22,female,some_college,
1,SET1_S04,P03,7,18,6,22,female,some_college,
8,SET8_S01,P03,7,9,5,22,female,some_college,
3,SET3_S05,P03,7,0,2,22,female,some_college,
6,SET6_S04,P03,7,0,3,22,female,some_college,
4,SET4_S08,P03,7,0,5,22,female,some_college,
2,SET2_S02,P03,7,27,5,22,female,some_college,
4,SET4_S04,P03,7,0,4,22,female,some_college,
8,SET8_S08,P03,7,9,3,22,female,some_college,
1,SET1_S05,P03,7,18,6,22,female,some_college,
3,SET3_S02,P03,7,0,5,22,female,some_college,
1,SET1_S07,P03,7,18,6,22,female,some_college,
1,SET1_S02,P03,7,18,4,22,female,some_college,
8,SET8_S07,P03,7,9,5,22,female,some_college,
1,SET1_S08,P03,7,18,5,22,female,some_college,
7,SET7_S04,P03,7,1,3,22,female,some_college,
5,SET5_S03,P03,7,0,4,22,female,some_college,
7,SET7_S03,P03,7,1,5,22,female,some_college,
7,SET7_S03,P04,7,1,4,29,female,high_school,
7,SET7_S06,P04,7,1,4,29,female,high_school,
3,SET3_S01,P04,7,0,4,29,female,high_school,
3,SET3_S04,P04,7,0,4,29,female,high_school,
6,SET6_S04,P04,7,0,3,29,female,high_school,
2,SET2_S01,P04,7,27,6,29,female,high_school,
7,SET7_S04,P04,7,1,4,29,female,high_school,
3,SET3_S02,P04,7,0,4,29,female,high_school,
8,SET8_S02,P04,7,9,5,29,female,high_school,
6,SET6_S01,P04,7,0,3,29,female,high_school,
4,SET4_S07,P04,7,0,5,29,female,high_school,
3,SET3_S06,P04,7,0,5,29,female,high_school,
7,SET7_S02,P04,7,1,3,29,female,high_school,
8,SET8_S01,P04,7,9,4,29,female,high_school,
8,SET8_S07,P04,7,9,6,29,female,high_school,
8,SET8_S08,P04,7,9,4,29,female,high_school,
1,SET1_S02,P04,7,18,5,29,female,high_school,
2,SET2_S06,P04,7,27,5,29,female,high_school,
1,SET1_S06,P04,7,18,4,29,female,high_school,
8,SET8_S04,P04,7,9,5,29,female,high_school,
5,SET5_S02,P04,7,0,2,29,female,high_school,
7,SET7_S05,P04,7,1,6,29,female,high_school,
2,SET2_S02,P04,7,27,5,29,female,high_school,
3,SET3_S05,P04,7,0,4,29,female,high_school,
6,SET6_S03,P04,7,0,4,29,female,high_school,
1,SET1_S07,P04,7,18,6,29,female,high_school,
5,SET5_S07,P04,7,0,3,29,female,high_school,
4,SET4_S05,P04,7,0,4,29,female,high_school,
8,SET8_S06,P04,7,9,5,29,female,high_school,
2,SET2_S07,P04,7,27,6,29,female,high_school,
4,SET4_S01,P04,7,0,5,29,female,high_school,
1,SET1_S03,P04,7,18,4,29,female,high_school,
7,SET7_S08,P04,7,1,4,29,female,high_school,
5,SET5_S03,P04,7,0,5,29,female,high_school,
2,SET2_S04,P04,7,27,3,29,female,high_school,
7,SET7_S01,P04,7,1,6,29,female,high_school,
3,SET3_S08,P04,7,0,3,29,female,high_school,
4,SET4_S04,P04,7,0,4,29,female,high_school,
5,SET5_S04,P04,7,0,3,29,female,high_school,
5,SET5_S05,P04,7,0,4,29,female,high_school,
1,SET1_S08,P04,7,18,6,29,female,high_school,
8,SET8_S05,P04,7,9,5,29,female,high_school,
4,SET4_S08,P04,7,0,4,29,female,high_school,
4,SET4_S02,P04,7,0,4,29,female,high_school,
2,SET2_S08,P04,7,27,3,29,female,high_school,
1,SET1_S05,P04,7,18,4,29,female,high_school,
6,SET6_S05,P04,7,0,3,29,female,high_school,
3,SET3_S03,P04,7,0,4,29,female,high_school,
4,SET4_S06,P04,7,0,4,29,female,high_school,
5,SET5_S01,P04,7,0,5,29,female,high_school,
3,SET3_S07,P04,7,0,4,29,female,high_school,
6,SET6_S02,P04,7,0,4,29,female,high_school,
6,SET6_S07,P04,7,0,6,29,female,high_school,
2,SET2_S03,P04,7,27,5,29,female,high_school,
1,SET1_S04,P04,7,18,4,29,female,high_school,
8,SET8_S03,P04,7,9,6,29,female,high_school,
5,SET5_S06,P04,7,0,5,29,female,high_school,
4,SET4_S03,P04,7,0,5,29,female,high_school,
7,SET7_S07,P04,7,1,4,29,female,high_school,
2,SET2_S05,P04,7,27,6,29,female,high_school,
5,SET5_S08,P04,7,0,2,29,female,high_school,
6,SET6_S08,P04,7,0,4,29,female,high_school,
6,SET6_S06,P04,7,0,3,29,female,high_school,
1,SET1_S01,P04,7,18,4,29,female,high_school,
6,SET6_S07,P05,1,0,3,35,female,high_school,
6,SET6_S03,P05,1,0,2,35,female,high_school,
5,SET5_S01,P05,1,0,5,35,female,high_school,
3,SET3_S05,P05,1,18,3,35,female,high_school,
7,SET7_S04,P05,1,0,3,35,female,high_school,
2,SET2_S08,P05,1,9,4,35,female,high_school,
3,SET3_S02,P05,1,18,6,35,female,high_school,
7,SET7_S05,P05,1,0,2,35,female,high_school,
1,SET1_S01,P05,1,1,4,35,female,high_school,
1,SET1_S03,P05,1,1,5,35,female,high_school,
5,SET5_S08,P05,1,0,3,35,female,high_school,
8,SET8_S03,P05,1,0,3,35,female,high_school,
4,SET4_S08,P05,1,27,5,35,female,high_school,
7,SET7_S02,P05,1,0,5,35,female,high_school,
3,SET3_S07,P05,1,18,4,35,female,high_school,
4,SET4_S06,P05,1,27,6,35,female,high_school,
2,SET2_S05,P05,1,9,5,35,female,high_school,
6,SET6_S01,P05,1,0,5,35,female,high_school,
8,SET8_S01,P05,1,0,4,35,female,high_school,
3,SET3_S06,P05,1,18,4,35,female,high_school,
5,SET5_S05,P05,1,0,5,35,female,high_school,
6,SET6_S02,P05,1,0,4,35,female,high_school,
4,SET4_S01,P05,1,27,5,35,female,high_school,
2,SET2_S01,P05,1,9,5,35,female,high_school,
1,SET1_S02,P05,1,1,5,35,female,high_school,
8,SET8_S05,P05,1,0,4,35,female,high_school,
3,SET3_S04,P05,1,18,4,35,female,high_school,
5,SET5_S07,P05,1,0,3,35,female,high_school,
4,SET4_S04,P05,1,27,4,35,female,high_school,
2,SET2_S03,P05,1,9,4,35,female,high_school,
4,SET4_S05,P05,1,27,4,35,female,high_school,
3,SET3_S01,P05,1,18,4,35,female,high_school,
7,SET7_S08,P05,1,0,4,35,female,high_school,
6,SET6_S08,P05,1,0,4,35,female,high_school,
1,SET1_S07,P05,1,1,4,35,female,high_school,
8,SET8_S02,P05,1,0,3,35,female,high_school,
3,SET3_S08,P05,1,18,6,35,female,high_school,
5,SET5_S06,P05,1,0,4,35,female,high_school,
4,SET4_S03,P05,1,27,6,35,female,high_school,
1,SET1_S04,P05,1,1,4,35,female,high_school,
6,SET6_S06,P05,1,0,4,35,female,high_school,
7,SET7_S07,P05,1,0,5,35,female,high_school,
8,SET8_S08,P05,1,0,1,35,female,high_school,
5,SET5_S04,P05,1,0,3,35,female,high_school,
8,SET8_S07,P05,1,0,4,35,female,high_school,
7,SET7_S01,P05,1,0,5,35,female,high_school,
2,SET2_S04,P05,1,9,5,35,female,high_school,
5,SET5_S02,P05,1,0,4,35,female,high_school,
3,SET3_S03,P05,1,18,6,35,female,high_school,
7,SET7_S03,P05,1,0,5,35,female,high_school,
1,SET1_S08,P05,1,1,3,35,female,high_school,
7,SET7_S06,P05,1,0,4,35,female,high_school,
8,SET8_S04,P05,1,0,4,35,female,high_school,
8,SET8_S06,P05,1,0,5,35,female,high_school,
2,SET2_S07,P05,1,9,6,35,female,high_school,
2,SET2_S06,P05,1,9,5,35,female,high_school,
4,SET4_S07,P05,1,27,5,35,female,high_school,
5,SET5_S03,P05,1,0,2,35,female,high_school,
2,SET2_S02,P05,1,9,6,35,female,high_school,
4,SET4_S02,P05,1,27,5,35,female,high_school,
1,SET1_S05,P05,1,1,5,35,female,high_school,
6,SET6_S04,P05,1,0,4,35,female,high_school,
6,SET6_S05,P05,1,0,4,35,female,high_school,
1,SET1_S06,P05,1,1,4,35,female,high_school,
8,SET8_S03,P06,4,0,4,19,female,undergrad,
7,SET7_S06,P06,4,27,5,19,female,undergrad,
3,SET3_S06,P06,4,0,3,19,female,undergrad,
2,SET2_S07,P06,4,0,4,19,female,undergrad,
8,SET8_S04,P06,4,0,4,19,female,undergrad,
6,SET6_S07,P06,4,18,4,19,female,undergrad,
5,SET5_S02,P06,4,9,6,19,female,undergrad,
5,SET5_S05,P06,4,9,4,19,female,undergrad,
5,SET5_S07,P06,4,9,4,19,female,undergrad,
3,SET3_S07,P06,4,0,3,19,female,undergrad,
1,SET1_S06,P06,4,0,3,19,female,undergrad,
2,SET2_S04,P06,4,0,3,19,female,undergrad,
8,SET8_S02,P06,4,0,2,19,female,undergrad,
6,SET6_S04,P06,4,18,5,19,female,undergrad,
7,SET7_S08,P06,4,27,5,19,female,undergrad,
2,SET2_S08,P06,4,0,2,19,female,undergrad,
6,SET6_S08,P06,4,18,5,19,female,undergrad,
7,SET7_S07,P06,4,27,5,19,female,undergrad,
5,SET5_S06,P06,4,9,5,19,female,undergrad,
7,SET7_S02,P06,4,27,6,19,female,undergrad,
1,SET1_S01,P06,4,0,4,19,female,undergrad,
2,SET2_S02,P06,4,0,3,19,female,undergrad,
3,SET3_S04,P06,4,0,3,19,female,undergrad,
8,SET8_S01,P06,4,0,4,19,female,undergrad,
1,SET1_S07,P06,4,0,3,19,female,undergrad,
2,SET2_S03,P06,4,0,3,19,female,undergrad,
3,SET3_S01,P06,4,0,6,19,female,undergrad,
7,SET7_S01,P06,4,27,5,19,female,undergrad,
4,SET4_S05,P06,4,1,4,19,female,undergrad,
1,SET1_S02,P06,4,0,2,19,female,undergrad,
7,SET7_S05,P06,4,27,6,19,female,undergrad,
5,SET5_S04,P06,4,9,4,19,female,undergrad,
4,SET4_S08,P06,4,1,4,19,female,undergrad,
3,SET3_S03,P06,4,0,5,19,female,undergrad,
1,SET1_S03,P06,4,0,3,19,female,undergrad,
5,SET5_S03,P06,4,9,5,19,female,undergrad,
4,SET4_S04,P06,4,1,6,19,female,undergrad,
1,SET1_S04,P06,4,0,1,19,female,undergrad,
5,SET5_S01,P06,4,9,4,19,female,undergrad,
2,SET2_S06,P06,4,0,3,19,female,undergrad,
8,SET8_S06,P06,4,0,3,19,female,undergrad,
4,SET4_S03,P06,4,1,4,19,female,undergrad,
4,SET4_S07,P06,4,1,3,19,female,undergrad,
6,SET6_S05,P06,4,18,4,19,female,undergrad,
4,SET4_S01,P06,4,1,4,19,female,undergrad,
5,SET5_S08,P06,4,9,4,19,female,undergrad,
8,SET8_S05,P06,4,0,4,19,female,undergrad,
6,SET6_S02,P06,4,18,6,19,female,undergrad,
3,SET3_S08,P06,4,0,5,19,female,undergrad,
4,SET4_S02,P06,4,1,5,19,female,undergrad,
6,SET6_S06,P06,4,18,4,19,female,undergrad,
1,SET1_S08,P06,4,0,4,19,female,undergrad,
3,SET3_S05,P06,4,0,6,19,female,undergrad,
4,SET4_S06,P06,4,1,5,19,female,undergrad,
7,SET7_S03,P06,4,27,4,19,female,undergrad,
2,SET2_S01,P06,4,0,5,19,female,undergrad,
7,SET7_S04,P06,4,27,4,19,female,undergrad,
8,SET8_S08,P06,4,0,3,19,female,undergrad,
1,SET1_S05,P06,4,0,5,19,female,undergrad,
6,SET6_S03,P06,4,18,4,19,female,undergrad,
8,SET8_S07,P06,4,0,2,19,female,undergrad,
3,SET3_S02,P06,4,0,4,19,female,undergrad,
6,SET6_S01,P06,4,18,5,19,female,undergrad,
2,SET2_S05,P06,4,0,4,19,female,undergrad,
4,SET4_S06,P07,6,0,3,18,female,high_school,
4,SET4_S07,P07,6,0,2,18,female,high_school,
1,SET1_S02,P07,6,27,6,18,female,high_school,
5,SET5_S06,P07,6,0,4,18,female,high_school,
8,SET8_S06,P07,6,18,6,18,female,high_school,
1,SET1_S01,P07,6,27,5,18,female,high_school,
6,SET6_S01,P07,6,1,5,18,female,high_school,
7,SET7_S01,P07,6,9,6,18,female,high_school,
2,SET2_S08,P07,6,0,2,18,female,high_school,
1,SET1_S04,P07,6,27,6,18,female,high_school,
4,SET4_S04,P07,6,0,3,18,female,high_school,
8,SET8_S04,P07,6,18,5,18,female,high_school,
7,SET7_S02,P07,6,9,5,18,female,high_school,
8,SET8_S01,P07,6,18,4,18,female,high_school,
6,SET6_S08,P07,6,1,6,18,female,high_school,
7,SET7_S04,P07,6,9,5,18,female,high_school,
3,SET3_S06,P07,6,0,3,18,female,high_school,
2,SET2_S07,P07,6,0,4,18,female,high_school,
6,SET6_S07,P07,6,1,5,18,female,high_school,
3,SET3_S05,P07,6,0,4,18,female,high_school,
3,SET3_S07,P07,6,0,4,18,female,high_school,
8,SET8_S07,P07,6,18,3,18,female,high_school,
1,SET1_S07,P07,6,27,4,18,female,high_school,
2,SET2_S03,P07,6,0,2,18,female,high_school,
2,SET2_S02,P07,6,0,5,18,female,high_school,
7,SET7_S07,P07,6,9,6,18,female,high_school,
2,SET2_S01,P07,6,0,4,18,female,high_school,
7,SET7_S05,P07,6,9,4,18,female,high_school,
1,SET1_S03,P07,6,27,6,18,female,high_school,
8,SET8_S02,P07,6,18,4,18,female,high_school,
5,SET5_S04,P07,6,0,3,18,female,high_school,
3,SET3_S03,P07,6,0,4,18,female,high_school,
7,SET7_S08,P07,6,9,5,18,female,high_school,
6,SET6_S05,P07,6,1,5,18,female,high_school,
2,SET2_S05,P07,6,0,4,18,female,high_school,
5,SET5_S01,P07,6,0,4,18,female,high_school,
6,SET6_S02,P07,6,1,5,18,female,high_school,
5,SET5_S02,P07,6,0,3,18,female,high_school,
1,SET1_S05,P07,6,27,5,18,female,high_school,
7,SET7_S06,P07,6,9,5,18,female,high_school,
3,SET3_S02,P07,6,0,4,18,female,high_school,
4,SET4_S03,P07,6,0,4,18,female,high_school,
3,SET3_S08,P07,6,0,3,18,female,high_school,
2,SET2_S06,P07,6,0,4,18,female,high_school,
3,SET3_S04,P07,6,0,4,18,female,high_school,
4,SET4_S01,P07,6,0,2,18,female,high_school,
4,SET4_S02,P07,6,0,3,18,female,high_school,
3,SET3_S01,P07,6,0,4,18,female,high_school,
8,SET8_S08,P07,6,18,6,18,female,high_school,
2,SET2_S04,P07,6,0,4,18,female,high_school,
8,SET8_S05,P07,6,18,6,18,female,high_school,
1,SET1_S08,P07,6,27,4,18,female,high_school,
5,SET5_S03,P07,6,0,4,18,female,high_school,
6,SET6_S06,P07,6,1,5,18,female,high_school,
8,SET8_S03,P07,6,18,3,18,female,high_school,
7,SET7_S03,P07,6,9,6,18,female,high_school,
6,SET6_S03,P07,6,1,3,18,female,high_school,
5,SET5_S05,P07,6,0,5,18,female,high_school,
5,SET5_S08,P07,6,0,4,18,female,high_school,
4,SET4_S08,P07,6,0,2,18,female,high_school,
1,SET1_S06,P07,6,27,3,18,female,high_school,
6,SET6_S04,P07,6,1,6,18,female,high_school,
5,SET5_S07,P07,6,0,5,18,female,high_school,
4,SET4_S05,P07,6,0,3,18,female,high_school,
4,SET4_S03,P08,3,9,5,27,female,undergrad,
4,SET4_S06,P08,3,9,6,27,female,undergrad,
7,SET7_S06,P08,3,0,4,27,female,undergrad,
2,SET2_S04,P08,3,0,4,27,female,undergrad,
4,SET4_S01,P08,3,9,4,27,female,undergrad,
4,SET4_S07,P08,3,9,4,27,female,undergrad,
6,SET6_S02,P08,3,27,6,27,female,undergrad,
4,SET4_S08,P08,3,9,4,27,female,undergrad,
3,SET3_S02,P08,3,1,4,27,female,undergrad,
6,SET6_S01,P08,3,27,4,27,female,undergrad,
3,SET3_S05,P08,3,1,5,27,female,undergrad,
7,SET7_S02,P08,3,0,4,27,female,undergrad,
5,SET5_S08,P08,3,18,6,27,female,undergrad,
8,SET8_S05,P08,3,0,3,27,female,undergrad,
1,SET1_S01,P08,3,0,3,27,female,undergrad,
8,SET8_S07,P08,3,0,3,27,female,undergrad,
6,SET6_S06,P08,3,27,4,27,female,undergrad,
3,SET3_S08,P08,3,1,5,27,female,undergrad,
3,SET3_S03,P08,3,1,5,27,female,undergrad,
2,SET2_S05,P08,3,0,3,27,female,undergrad,
1,SET1_S03,P08,3,0,4,27,female,undergrad,
7,SET7_S08,P08,3,0,5,27,female,undergrad,
4,SET4_S05,P08,3,9,5,27,female,undergrad,
6,SET6_S05,P08,3,27,6,27,female,undergrad,
5,SET5_S01,P08,3,18,4,27,female,undergrad,
1,SET1_S06,P08,3,0,3,27,female,undergrad,
7,SET7_S07,P08,3,0,2,27,female,undergrad,
7,SET7_S05,P08,3,0,5,27,female,undergrad,
8,SET8_S01,P08,3,0,4,27,female,undergrad,
7,SET7_S03,P08,3,0,4,27,female,undergrad,
2,SET2_S06,P08,3,0,4,27,female,undergrad,
3,SET3_S01,P08,3,1,3,27,female,undergrad,
3,SET3_S06,P08,3,1,6,27,female,undergrad,
6,SET6_S08,P08,3,27,5,27,female,undergrad,
5,SET5_S05,P08,3,18,5,27,female,undergrad,
2,SET2_S02,P08,3,0,4,27,female,undergrad,
1,SET1_S07,P08,3,0,4,27,female,undergrad,
2,SET2_S03,P08,3,0,4,27,female,undergrad,
1,SET1_S04,P08,3,0,3,27,female,undergrad,
3,SET3_S04,P08,3,1,5,27,female,undergrad,
7,SET7_S04,P08,3,0,5,27,female,undergrad,
6,SET6_S07,P08,3,27,6,27,female,undergrad,
8,SET8_S03,P08,3,0,5,27,female,undergrad,
3,SET3_S07,P08,3,1,4,27,female,undergrad,
6,SET6_S03,P08,3,27,4,27,female,undergrad,
5,SET5_S06,P08,3,18,5,27,female,undergrad,
1,SET1_S05,P08,3,0,4,27,female,undergrad,
5,SET5_S03,P08,3,18,6,27,female,undergrad,
2,SET2_S01,P08,3,0,2,27,female,undergrad,
5,SET5_S02,P08,3,18,6,27,female,undergrad,
5,SET5_S04,P08,3,18,5,27,female,undergrad,
6,SET6_S04,P08,3,27,4,27,female,undergrad,
1,SET1_S08,P08,3,0,3,27,female,undergrad,
8,SET8_S08,P08,3,0,2,27,female,undergrad,
5,SET5_S07,P08,3,18,5,27,female,undergrad,
2,SET2_S08,P08,3,0,4,27,female,undergrad,
8,SET8_S04,P08,3,0,2,27,female,undergrad,
4,SET4_S02,P08,3,9,4,27,female,undergrad,
1,SET1_S02,P08,3,0,3,27,female,undergrad,
8,SET8_S02,P08,3,0,5,27,female,undergrad,
8,SET8_S06,P08,3,0,3,27,female,undergrad,
7,SET7_S01,P08,3,0,2,27,female,undergrad,
